city,state_id,state_name,county_fips,county_name
Los Angeles,CA,California,6037,Los Angeles
Dallas,TX,Texas,48113,Dallas
Houston,TX,Texas,48201,Harris
Seattle,WA,Washington,53033,King
San Francisco,CA,California,6075,San Francisco
San Diego,CA,California,6073,San Diego
Denver,CO,Colorado,8031,Denver
Riverside,CA,California,6065,Riverside
San Antonio,TX,Texas,48029,Bexar
Sacramento,CA,California,6067,Sacramento
San Jose,CA,California,6085,Santa Clara
Austin,TX,Texas,48453,Travis
Virginia Beach,VA,Virginia,51810,Virginia Beach
Richmond,VA,Virginia,51760,Richmond
Fort Worth,TX,Texas,48439,Tarrant
El Paso,TX,Texas,48141,El Paso
McAllen,TX,Texas,48215,Hidalgo
Fresno,CA,California,6019,Fresno
Concord,CA,California,6013,Contra Costa
Colorado Springs,CO,Colorado,8041,El Paso
Mission Viejo,CA,California,6059,Orange
Bakersfield,CA,California,6029,Kern
Murrieta,CA,California,6065,Riverside
Long Beach,CA,California,6037,Los Angeles
Denton,TX,Texas,48121,Denton
Oakland,CA,California,6001,Alameda
Indio,CA,California,6065,Riverside
Spokane,WA,Washington,53063,Spokane
Arlington,TX,Texas,48439,Tarrant
Stockton,CA,California,6077,San Joaquin
Oxnard,CA,California,6111,Ventura
Modesto,CA,California,6099,Stanislaus
Aurora,CO,Colorado,8001,Adams
Anaheim,CA,California,6059,Orange
Victorville,CA,California,6071,San Bernardino
Lancaster,CA,California,6037,Los Angeles
Corpus Christi,TX,Texas,48355,Nueces
Santa Ana,CA,California,6059,Orange
Santa Rosa,CA,California,6097,Sonoma
Fort Collins,CO,Colorado,8069,Larimer
Santa Clarita,CA,California,6037,Los Angeles
Antioch,CA,California,6013,Contra Costa
Plano,TX,Texas,48085,Collin
Irvine,CA,California,6059,Orange
Chula Vista,CA,California,6073,San Diego
Lubbock,TX,Texas,48303,Lubbock
Laredo,TX,Texas,48479,Webb
McKinney,TX,Texas,48085,Collin
Killeen,TX,Texas,48027,Bell
Chesapeake,VA,Virginia,51550,Chesapeake
Norfolk,VA,Virginia,51710,Norfolk
Fremont,CA,California,6001,Alameda
Kennewick,WA,Washington,53005,Benton
