State,County,Date,House_avg_price,#Covid_cases
California,Fresno,2020-01-31,271815.0,0
California,Fresno,2020-02-29,272509.0,0
California,Fresno,2020-03-31,274642.0,61
California,Fresno,2020-04-30,276982.0,511
California,Fresno,2020-05-31,278206.0,1252
California,Fresno,2020-06-30,277664.0,3077
California,Fresno,2020-07-31,280295.0,10382
California,Fresno,2020-08-31,284475.0,10211
California,Fresno,2020-09-30,290007.0,3610
California,Fresno,2020-10-31,292739.0,2989
California,Fresno,2020-11-30,295730.0,8310
California,Fresno,2020-12-31,299447.0,31153
California,Fresno,2021-01-31,303101.0,24372
California,Fresno,2021-02-28,306552.0,7399
California,Fresno,2021-03-31,311093.0,4246
California,Fresno,2021-04-30,316604.0,2307
California,Fresno,2021-05-31,323959.0,1393
California,Fresno,2021-06-30,331603.0,58
California,Fresno,2021-07-31,340951.0,2562
California,Fresno,2021-08-31,349249.0,13775
California,Fresno,2021-09-30,356215.0,12273
California,Fresno,2021-10-31,359221.0,10456
California,Fresno,2021-11-30,361977.0,6654
California,Fresno,2021-12-31,364020.0,6235
California,Kern,2020-01-31,232508.0,0
California,Kern,2020-02-29,233420.0,0
California,Kern,2020-03-31,235945.0,83
California,Kern,2020-04-30,238145.0,810
California,Kern,2020-05-31,238972.0,1357
California,Kern,2020-06-30,239262.0,2405
California,Kern,2020-07-31,241432.0,14680
California,Kern,2020-08-31,244510.0,9989
California,Kern,2020-09-30,247789.0,2804
California,Kern,2020-10-31,249982.0,2250
California,Kern,2020-11-30,252874.0,7579
California,Kern,2020-12-31,257122.0,27012
California,Kern,2021-01-31,261402.0,25144
California,Kern,2021-02-28,265299.0,9182
California,Kern,2021-03-31,267504.0,2944
California,Kern,2021-04-30,271428.0,2306
California,Kern,2021-05-31,275835.0,1586
California,Kern,2021-06-30,281928.0,929
California,Kern,2021-07-31,288437.0,2156
California,Kern,2021-08-31,295834.0,11727
California,Kern,2021-09-30,302686.0,14078
California,Kern,2021-10-31,308485.0,9969
California,Kern,2021-11-30,311876.0,8672
California,Kern,2021-12-31,313603.0,5105
California,Los Angeles,2020-01-31,677231.0,0
California,Los Angeles,2020-02-29,683327.0,0
California,Los Angeles,2020-03-31,690287.0,3018
California,Los Angeles,2020-04-30,695409.0,20201
California,Los Angeles,2020-05-31,693500.0,31781
California,Los Angeles,2020-06-30,690600.0,48849
California,Los Angeles,2020-07-31,692341.0,84691
California,Los Angeles,2020-08-31,701511.0,53227
California,Los Angeles,2020-09-30,712123.0,28531
California,Los Angeles,2020-10-31,722085.0,37319
California,Los Angeles,2020-11-30,729573.0,93830
California,Los Angeles,2020-12-31,735908.0,370071
California,Los Angeles,2021-01-31,741042.0,345429
California,Los Angeles,2021-02-28,748530.0,74975
California,Los Angeles,2021-03-31,756399.0,27691
California,Los Angeles,2021-04-30,767442.0,13477
California,Los Angeles,2021-05-31,783105.0,10963
California,Los Angeles,2021-06-30,802909.0,6186
California,Los Angeles,2021-07-31,823806.0,50073
California,Los Angeles,2021-08-31,837248.0,107004
California,Los Angeles,2021-09-30,846358.0,51865
California,Los Angeles,2021-10-31,851116.0,33988
California,Los Angeles,2021-11-30,858319.0,33962
California,Los Angeles,2021-12-31,867616.0,169450
California,Monterey,2020-01-31,604412.0,0
California,Monterey,2020-02-29,607448.0,0
California,Monterey,2020-03-31,610262.0,43
California,Monterey,2020-04-30,610961.0,171
